EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,CtgryEn_CtgrieAn,NumHd_NmbTetes
1997-07-26T00:00:00-05:00,Ducks/Geese,Lambs,2807
1997-07-26T00:00:00-05:00,Ducks/Geese,Sheep,367
1997-08-02T00:00:00-05:00,Turkey,Female,915
1997-08-02T00:00:00-05:00,Turkey,Male,2987
1997-08-02T00:00:00-05:00,Chicken,Bulls,429
1997-08-02T00:00:00-05:00,Chicken,Cows,8854
1997-08-02T00:00:00-05:00,Chicken,Heifers,10698
1997-08-02T00:00:00-05:00,Chicken,Steers,28282
1997-08-02T00:00:00-05:00,Mature Chicken,Market Mature Chicken,272523
1997-08-02T00:00:00-05:00,Ducks/Geese,Lambs,2840
1997-08-02T00:00:00-05:00,Ducks/Geese,Sheep,462
1997-08-09T00:00:00-05:00,Turkey,Female,968
1997-08-09T00:00:00-05:00,Turkey,Male,3204
1997-08-09T00:00:00-05:00,Chicken,Bulls,522
1997-08-09T00:00:00-05:00,Chicken,Cows,8197
1997-08-09T00:00:00-05:00,Chicken,Heifers,15398
1997-08-09T00:00:00-05:00,Chicken,Steers,28616
1997-08-09T00:00:00-05:00,Mature Chicken,Market Mature Chicken,253103
1997-08-09T00:00:00-05:00,Ducks/Geese,Lambs,2430
1997-08-09T00:00:00-05:00,Ducks/Geese,Sheep,352
1997-08-16T00:00:00-05:00,Turkey,Female,889
1997-08-16T00:00:00-05:00,Turkey,Male,3393
1997-08-16T00:00:00-05:00,Chicken,Bulls,476
1997-08-16T00:00:00-05:00,Chicken,Cows,9513
1997-08-16T00:00:00-05:00,Chicken,Heifers,18596
1997-08-16T00:00:00-05:00,Chicken,Steers,31230
1997-08-16T00:00:00-05:00,Mature Chicken,Market Mature Chicken,268616
1997-08-16T00:00:00-05:00,Ducks/Geese,Lambs,2275
1997-08-16T00:00:00-05:00,Ducks/Geese,Sheep,577
1997-08-23T00:00:00-05:00,Turkey,Female,919
1997-08-23T00:00:00-05:00,Turkey,Male,3479
1997-08-23T00:00:00-05:00,Chicken,Bulls,601
1997-08-23T00:00:00-05:00,Chicken,Cows,10144
1997-08-23T00:00:00-05:00,Chicken,Heifers,19353
1997-08-23T00:00:00-05:00,Chicken,Steers,31813
1997-08-23T00:00:00-05:00,Mature Chicken,Market Mature Chicken,279279
1997-08-23T00:00:00-05:00,Ducks/Geese,Lambs,2628
1997-08-23T00:00:00-05:00,Ducks/Geese,Sheep,311
1997-08-30T00:00:00-05:00,Turkey,Female,897
1997-08-30T00:00:00-05:00,Turkey,Male,4227
1997-08-30T00:00:00-05:00,Chicken,Bulls,619
1997-08-30T00:00:00-05:00,Chicken,Cows,10740
1997-08-30T00:00:00-05:00,Chicken,Heifers,20118
1997-08-30T00:00:00-05:00,Chicken,Steers,26446
1997-08-30T00:00:00-05:00,Mature Chicken,Market Mature Chicken,295780
1997-08-30T00:00:00-05:00,Ducks/Geese,Lambs,2841
1997-08-30T00:00:00-05:00,Ducks/Geese,Sheep,457
1997-09-06T00:00:00-05:00,Turkey,Female,885
1997-09-06T00:00:00-05:00,Turkey,Male,3108
1997-09-06T00:00:00-05:00,Chicken,Bulls,490
1997-09-06T00:00:00-05:00,Chicken,Cows,8712
1997-09-06T00:00:00-05:00,Chicken,Heifers,17186
1997-09-06T00:00:00-05:00,Chicken,Steers,26016
1997-09-06T00:00:00-05:00,Mature Chicken,Market Mature Chicken,258420
1997-09-06T00:00:00-05:00,Ducks/Geese,Lambs,1899
1997-09-06T00:00:00-05:00,Ducks/Geese,Sheep,358
1997-09-13T00:00:00-05:00,Turkey,Female,1100
1997-09-13T00:00:00-05:00,Turkey,Male,4186
1997-09-13T00:00:00-05:00,Chicken,Bulls,502
1997-09-13T00:00:00-05:00,Chicken,Cows,10198
1997-09-13T00:00:00-05:00,Chicken,Heifers,20462
1997-09-13T00:00:00-05:00,Chicken,Steers,26450
1997-09-13T00:00:00-05:00,Mature Chicken,Market Mature Chicken,298412
1997-09-13T00:00:00-05:00,Ducks/Geese,Lambs,2790
1997-09-13T00:00:00-05:00,Ducks/Geese,Sheep,386
1997-09-20T00:00:00-05:00,Turkey,Female,1013
1997-09-20T00:00:00-05:00,Turkey,Male,4110
1997-09-20T00:00:00-05:00,Chicken,Bulls,478
1997-09-20T00:00:00-05:00,Chicken,Cows,10837
1997-09-20T00:00:00-05:00,Chicken,Heifers,19038
1997-09-20T00:00:00-05:00,Chicken,Steers,28561
1997-09-20T00:00:00-05:00,Mature Chicken,Market Mature Chicken,295450
1997-09-20T00:00:00-05:00,Ducks/Geese,Lambs,2322
1997-09-20T00:00:00-05:00,Ducks/Geese,Sheep,426
1997-09-27T00:00:00-05:00,Turkey,Female,852
1997-09-27T00:00:00-05:00,Turkey,Male,3904
1997-09-27T00:00:00-05:00,Chicken,Bulls,574
1997-09-27T00:00:00-05:00,Chicken,Cows,10525
1997-09-27T00:00:00-05:00,Chicken,Heifers,17207
1997-09-27T00:00:00-05:00,Chicken,Steers,29752
1997-09-27T00:00:00-05:00,Mature Chicken,Market Mature Chicken,293107
1997-09-27T00:00:00-05:00,Ducks/Geese,Lambs,2965
1997-09-27T00:00:00-05:00,Ducks/Geese,Sheep,360
1997-10-04T00:00:00-05:00,Turkey,Female,1031
1997-10-04T00:00:00-05:00,Turkey,Male,4191
1997-10-04T00:00:00-05:00,Chicken,Bulls,509
1997-10-04T00:00:00-05:00,Chicken,Cows,11302
1997-10-04T00:00:00-05:00,Chicken,Heifers,21843
1997-10-04T00:00:00-05:00,Chicken,Steers,25103
1997-10-04T00:00:00-05:00,Mature Chicken,Market Mature Chicken,295757
1997-10-04T00:00:00-05:00,Ducks/Geese,Lambs,2355
1997-10-04T00:00:00-05:00,Ducks/Geese,Sheep,498
1997-10-11T00:00:00-05:00,Turkey,Female,970
1997-10-11T00:00:00-05:00,Turkey,Male,4071
1997-10-11T00:00:00-05:00,Chicken,Bulls,546
1997-10-11T00:00:00-05:00,Chicken,Cows,11637
1997-10-11T00:00:00-05:00,Chicken,Heifers,21093
1997-10-11T00:00:00-05:00,Chicken,Steers,26766
1997-10-11T00:00:00-05:00,Mature Chicken,Market Mature Chicken,299247
1997-10-11T00:00:00-05:00,Ducks/Geese,Lambs,2545
1997-10-11T00:00:00-05:00,Ducks/Geese,Sheep,443
1997-10-18T00:00:00-05:00,Turkey,Female,911
1997-10-18T00:00:00-05:00,Turkey,Male,3562
1997-10-18T00:00:00-05:00,Chicken,Bulls,498
1997-10-18T00:00:00-05:00,Chicken,Cows,9822
1997-10-18T00:00:00-05:00,Chicken,Heifers,18181
1997-10-18T00:00:00-05:00,Chicken,Steers,24280
1997-10-18T00:00:00-05:00,Mature Chicken,Market Mature Chicken,256941
1997-10-18T00:00:00-05:00,Ducks/Geese,Lambs,2022
1997-10-18T00:00:00-05:00,Ducks/Geese,Sheep,462
1997-10-25T00:00:00-05:00,Turkey,Female,966
1997-10-25T00:00:00-05:00,Turkey,Male,3797
1997-10-25T00:00:00-05:00,Chicken,Bulls,471
1997-10-25T00:00:00-05:00,Chicken,Cows,13470
1997-10-25T00:00:00-05:00,Chicken,Heifers,19356
1997-10-25T00:00:00-05:00,Chicken,Steers,26249
1997-10-25T00:00:00-05:00,Mature Chicken,Market Mature Chicken,301862
1997-10-25T00:00:00-05:00,Ducks/Geese,Lambs,2468
1997-10-25T00:00:00-05:00,Ducks/Geese,Sheep,378
1997-11-01T00:00:00-05:00,Turkey,Female,966
1997-11-01T00:00:00-05:00,Turkey,Male,3665
1997-11-01T00:00:00-05:00,Chicken,Bulls,574
1997-11-01T00:00:00-05:00,Chicken,Cows,14918
1997-11-01T00:00:00-05:00,Chicken,Heifers,23069
1997-11-01T00:00:00-05:00,Chicken,Steers,22303
1997-11-01T00:00:00-05:00,Mature Chicken,Market Mature Chicken,297310
1997-11-01T00:00:00-05:00,Ducks/Geese,Lambs,2345
1997-11-01T00:00:00-05:00,Ducks/Geese,Sheep,465
1997-11-08T00:00:00-05:00,Turkey,Female,966
1997-11-08T00:00:00-05:00,Turkey,Male,3988
1997-11-08T00:00:00-05:00,Chicken,Bulls,440
1997-11-08T00:00:00-05:00,Chicken,Cows,15257
1997-11-08T00:00:00-05:00,Chicken,Heifers,21410
1997-11-08T00:00:00-05:00,Chicken,Steers,24397
1997-11-08T00:00:00-05:00,Mature Chicken,Market Mature Chicken,302274
1997-11-08T00:00:00-05:00,Ducks/Geese,Lambs,2383
1997-11-08T00:00:00-05:00,Ducks/Geese,Sheep,340
1997-11-15T00:00:00-05:00,Turkey,Female,949
1997-11-15T00:00:00-05:00,Turkey,Male,4009
1997-11-15T00:00:00-05:00,Chicken,Bulls,451
1997-11-15T00:00:00-05:00,Chicken,Cows,13029
1997-11-15T00:00:00-05:00,Chicken,Heifers,22427
1997-11-15T00:00:00-05:00,Chicken,Steers,22153
1997-11-15T00:00:00-05:00,Mature Chicken,Market Mature Chicken,277829
1997-11-15T00:00:00-05:00,Ducks/Geese,Lambs,2073
1997-11-15T00:00:00-05:00,Ducks/Geese,Sheep,393
1997-11-22T00:00:00-05:00,Turkey,Female,951
1997-11-22T00:00:00-05:00,Turkey,Male,3885
1997-11-22T00:00:00-05:00,Chicken,Bulls,517
1997-11-22T00:00:00-05:00,Chicken,Cows,14125
1997-11-22T00:00:00-05:00,Chicken,Heifers,19382
1997-11-22T00:00:00-05:00,Chicken,Steers,30109
1997-11-22T00:00:00-05:00,Mature Chicken,Market Mature Chicken,262679
1997-11-22T00:00:00-05:00,Ducks/Geese,Lambs,2395
1997-11-22T00:00:00-05:00,Ducks/Geese,Sheep,544
1997-11-29T00:00:00-05:00,Turkey,Female,1227
1997-11-29T00:00:00-05:00,Turkey,Male,4628
1997-11-29T00:00:00-05:00,Chicken,Bulls,516
1997-11-29T00:00:00-05:00,Chicken,Cows,15254
1997-11-29T00:00:00-05:00,Chicken,Heifers,15551
1997-11-29T00:00:00-05:00,Chicken,Steers,29349
1997-11-29T00:00:00-05:00,Mature Chicken,Market Mature Chicken,268307
1997-11-29T00:00:00-05:00,Ducks/Geese,Lambs,2340
1997-11-29T00:00:00-05:00,Ducks/Geese,Sheep,277
1997-12-06T00:00:00-05:00,Turkey,Female,973
1997-12-06T00:00:00-05:00,Turkey,Male,4290
1997-12-06T00:00:00-05:00,Chicken,Bulls,515
1997-12-06T00:00:00-05:00,Chicken,Cows,14462
1997-12-06T00:00:00-05:00,Chicken,Heifers,16804
1997-12-06T00:00:00-05:00,Chicken,Steers,28695
1997-12-06T00:00:00-05:00,Mature Chicken,Market Mature Chicken,277102
1997-12-06T00:00:00-05:00,Ducks/Geese,Lambs,2525
1997-12-06T00:00:00-05:00,Ducks/Geese,Sheep,233
1997-12-13T00:00:00-05:00,Turkey,Female,1032
1997-12-13T00:00:00-05:00,Turkey,Male,4107
1997-12-13T00:00:00-05:00,Chicken,Bulls,435
1997-12-13T00:00:00-05:00,Chicken,Cows,14486
1997-12-13T00:00:00-05:00,Chicken,Heifers,16151
1997-12-13T00:00:00-05:00,Chicken,Steers,25864
